id	Variant	step1	step2	step3	step4	cat1	cat2	cat3
a42	1	443	89	0	0	1	6	6
a52	2	160	145	0	0	2	7	12
a75	2	47	0	0	0	2	6	4
a44	1	89	0	0	0	3	8	12
a41	1	98	53	0	0	2	2	3
a56	2	266	0	0	0	1	1	11
a10	1	58	38	0	0	2	4	7
a98	2	260	118	0	0	3	2	18
a49	1	22	0	0	0	1	4	11
a86	2	16	10	2	4	1	3	3
a31	1	69	67	0	0	3	2	6
a79	2	170	111	0	0	2	6	7
a91	2	251	185	0	0	1	2	16
a16	1	456	236	0	0	1	2	18
a37	1	326	315	0	0	1	6	1
a59	2	18	14	0	0	2	2	14
a8	2	211	0	0	0	3	8	19
a63	2	407	0	0	0	2	5	7
a14	1	256	0	0	0	2	3	2
a52	2	73	11	0	0	1	4	19
a79	2	138	0	0	0	2	6	2
a36	1	432	0	0	0	3	1	12
a74	2	423	0	0	0	3	7	4
a94	2	227	0	0	0	3	7	9
a2	1	190	0	0	0	2	4	17
a83	2	282	0	0	0	1	1	19
a49	1	51	29	10	20	3	5	6
a26	1	241	0	0	0	2	8	1
a26	1	53	48	0	0	3	7	9
a66	2	17	1	0	0	2	5	8
a62	2	288	0	0	0	3	4	3
a23	1	167	0	0	0	2	5	18
a63	2	472	441	0	0	1	2	1
a35	1	419	0	0	0	2	3	2
a16	1	65	13	0	0	3	3	8
a8	2	123	47	0	0	3	8	17
a96	2	254	0	0	0	1	5	15
a45	1	198	0	0	0	3	4	13
a8	2	41	21	10	30	1	7	11
a99	2	52	0	0	0	1	4	11
a20	1	143	0	0	0	2	1	10
a25	1	253	63	0	0	1	5	20
a32	1	95	15	0	0	1	5	13
a26	1	313	192	63	189	2	6	17
a7	2	319	317	0	0	3	3	9
a50	1	484	74	0	0	2	5	15
a93	2	496	124	0	0	1	2	1
a40	1	342	287	154	462	3	8	17
a24	1	60	30	5	5	1	5	4
a31	1	112	0	0	0	2	4	14
a39	1	333	139	91	182	1	3	7
a16	1	478	272	155	155	3	4	9
a43	1	220	0	0	0	1	1	16
a25	1	21	0	0	0	2	8	17
a5	1	170	112	0	0	3	7	9
a65	2	378	0	0	0	1	4	16
a45	1	71	0	0	0	1	8	6
a88	2	405	142	0	0	1	6	1
a27	1	219	218	205	205	3	3	14
a30	1	476	0	0	0	1	4	8
a33	1	274	4	0	0	3	5	16
a21	1	13	4	0	0	1	1	16
a73	2	196	0	0	0	2	7	8
a35	1	355	0	0	0	2	3	7
a35	1	306	150	101	202	2	2	10
a84	2	349	0	0	0	2	8	3
a2	1	330	194	188	188	1	3	14
a10	1	71	6	3	3	2	3	2
a12	1	127	0	0	0	2	6	3
a42	1	89	0	0	0	1	6	20
a11	1	473	7	0	0	3	8	15
a35	1	256	26	12	36	3	3	12
a45	1	119	19	5	15	3	2	7
a28	1	156	107	3	3	1	6	5
a21	1	98	0	0	0	1	3	18
a78	2	167	0	0	0	1	8	8
a5	1	52	0	0	0	3	8	20
a39	1	263	248	208	208	1	2	13
a7	2	197	0	0	0	1	2	7
a52	2	160	34	31	62	3	3	2
a9	2	33	15	0	0	2	2	15
a48	1	15	8	0	0	2	3	8
a21	1	39	33	17	34	2	3	11
a36	1	336	0	0	0	2	6	3
a47	1	169	0	0	0	3	8	18
a97	2	289	99	0	0	1	2	15
a8	2	327	0	0	0	1	4	4
a4	1	106	58	9	9	3	3	14
a43	1	461	0	0	0	1	7	9
a2	1	6	4	0	0	2	2	19
a1	1	497	358	0	0	2	2	17
a71	2	454	216	94	94	2	4	18
a36	1	345	157	0	0	2	4	4
a67	2	253	54	0	0	1	8	19
a46	1	309	189	0	0	3	8	1
a19	1	212	0	0	0	1	1	20
a2	1	305	0	0	0	1	1	9
a53	2	252	0	0	0	2	8	16
a29	1	191	164	0	0	2	3	5
a93	2	316	47	0	0	1	8	10
a82	2	364	0	0	0	3	7	4
a53	2	386	26	4	8	1	3	13
a20	1	494	0	0	0	1	4	13
a97	2	285	0	0	0	3	1	2
a12	1	408	347	206	206	3	4	11
a53	2	135	110	42	84	2	3	16
a9	2	303	256	0	0	1	7	5
a93	2	43	9	6	18	3	3	13
a36	1	189	0	0	0	1	1	12
a39	1	54	6	6	18	2	5	18
a65	2	38	0	0	0	2	3	2
a76	2	396	0	0	0	1	3	12
a43	1	162	0	0	0	3	8	2
a60	2	323	51	23	69	2	3	12
a51	2	302	219	160	480	3	3	17
a55	2	59	3	0	0	2	2	9
a30	1	168	0	0	0	3	2	12
a86	2	161	0	0	0	2	3	3
a36	1	35	5	0	0	1	2	7
a78	2	236	0	0	0	3	5	7
a97	2	5	0	0	0	1	5	10
a1	1	135	0	0	0	2	7	2
a73	2	108	0	0	0	3	6	4
a82	2	439	0	0	0	2	6	16
a12	1	125	0	0	0	3	7	8
a97	2	430	248	0	0	2	2	15
a61	2	260	202	168	168	1	5	18
a57	2	28	8	0	0	1	4	15
a52	2	252	135	23	69	2	6	17
a72	2	421	0	0	0	3	4	11
a35	1	132	0	0	0	1	7	3
a50	1	234	0	0	0	2	8	9
a69	2	389	0	0	0	1	3	4
a49	1	90	68	0	0	1	2	19
a73	2	262	20	0	0	3	8	15
a3	1	48	45	0	0	3	1	3
a14	1	110	0	0	0	1	4	19
a70	2	143	0	0	0	2	3	3
a63	2	338	0	0	0	1	6	8
a27	1	141	137	0	0	3	7	2
a55	2	165	0	0	0	1	8	16
a54	2	171	0	0	0	1	3	12
a62	2	217	0	0	0	2	6	12
a57	2	413	203	107	107	2	6	7
a96	2	181	98	0	0	2	4	10
a14	1	144	46	0	0	2	5	8
a50	1	411	0	0	0	1	2	9
a89	2	310	160	0	0	1	5	8
a77	2	449	0	0	0	3	8	13
a13	1	176	131	0	0	2	3	12
a18	1	266	93	84	84	2	8	3
a80	2	107	0	0	0	3	6	4
a53	2	331	81	0	0	3	2	5
a21	1	173	0	0	0	2	8	7
a82	2	300	130	59	177	3	1	20
a17	1	175	0	0	0	1	5	12
a43	1	192	0	0	0	2	2	12
a8	2	57	0	0	0	1	2	9
a69	2	183	165	49	49	3	8	13
a21	1	31	0	0	0	2	3	13
a64	2	461	434	0	0	1	8	3
a39	1	169	114	0	0	1	1	8
a83	2	188	0	0	0	1	7	1
a20	1	399	277	0	0	2	8	14
a86	2	16	11	3	3	3	1	8
a56	2	490	411	0	0	2	4	15
a89	2	432	22	0	0	2	6	12
a9	2	152	0	0	0	3	4	20
a9	2	267	99	45	45	1	7	13
a31	1	184	78	0	0	1	3	4
a51	2	135	0	0	0	1	1	7
a89	2	159	0	0	0	1	2	10
a87	2	236	218	51	51	3	5	16
a71	2	92	0	0	0	1	6	5
a25	1	423	30	0	0	2	2	3
a72	2	491	0	0	0	3	7	7
a41	1	301	0	0	0	2	3	9
a99	2	409	0	0	0	3	3	19
a45	1	443	422	127	127	3	4	1
a81	2	246	0	0	0	1	7	4
a44	1	188	0	0	0	2	8	15
a11	1	76	0	0	0	1	1	6
a36	1	340	83	0	0	2	3	8
a85	2	426	151	38	114	3	4	5
a88	2	90	0	0	0	2	3	1
a27	1	94	0	0	0	1	8	2
a93	2	16	10	3	9	2	3	4
a38	1	148	0	0	0	3	7	16
a62	2	170	0	0	0	1	5	20
a35	1	161	40	1	3	3	2	7
a11	1	402	305	0	0	3	1	13
a12	1	327	155	115	115	2	8	4
a60	2	165	150	5	10	3	2	16
a74	2	247	0	0	0	2	2	6
a73	2	73	35	0	0	1	8	1
a82	2	170	0	0	0	3	8	7
a23	1	108	0	0	0	3	6	18
a99	2	110	0	0	0	2	1	5
a27	1	107	0	0	0	3	4	16
a92	2	224	0	0	0	2	5	5
a73	2	32	18	16	48	2	8	16
a69	2	208	0	0	0	1	8	6
a84	2	7	0	0	0	3	7	3
a3	1	219	157	41	41	1	2	18
a38	1	415	0	0	0	3	2	15
a62	2	67	2	0	0	2	3	11
a48	1	248	0	0	0	3	2	20
a46	1	30	3	0	0	2	4	14
a11	1	68	0	0	0	3	4	9
a79	2	132	0	0	0	2	3	5
a39	1	479	378	0	0	3	8	17
a58	2	401	300	0	0	3	5	18
a81	2	20	0	0	0	1	4	14
a71	2	385	346	0	0	2	6	17
a48	1	96	80	68	68	3	2	3
a78	2	49	0	0	0	3	5	1
a17	1	236	17	4	4	2	6	9
a47	1	229	104	10	30	2	6	5
a7	2	169	31	0	0	2	3	1
a77	2	55	0	0	0	1	6	5
a100	1	19	12	0	0	1	8	8
a82	2	7	0	0	0	3	4	6
a30	1	162	0	0	0	2	8	18
a42	1	441	203	31	93	1	4	1
a94	2	367	126	95	285	3	8	13
a55	2	294	277	2	4	2	7	13
a4	1	271	184	0	0	1	6	20
a36	1	102	0	0	0	2	4	9
a70	2	455	0	0	0	3	3	9
a30	1	500	0	0	0	1	7	1
a17	1	179	0	0	0	2	6	10
a30	1	367	299	0	0	1	3	11
a45	1	327	0	0	0	2	6	7
a61	2	76	57	0	0	3	7	2
a8	2	241	0	0	0	3	8	5
a43	1	87	0	0	0	3	1	2
a10	1	252	147	51	102	1	3	5
a67	2	354	0	0	0	1	4	10
a60	2	309	0	0	0	3	5	20
a19	1	163	31	0	0	3	3	16
a100	1	192	0	0	0	3	8	16
a46	1	339	137	120	360	2	3	2
a26	1	279	0	0	0	1	1	17
a90	2	20	13	3	3	3	5	6
a71	2	449	0	0	0	1	5	10
a45	1	463	370	0	0	3	1	14
a10	1	366	0	0	0	2	8	6
a43	1	9	0	0	0	1	2	19
a59	2	123	44	20	20	1	6	2
a9	2	304	287	146	438	3	5	11
a83	2	309	204	14	28	1	1	16
a7	2	409	409	92	184	3	8	19
a70	2	216	57	23	23	1	6	13
a73	2	372	275	176	176	2	2	19
a93	2	439	0	0	0	2	2	14
a34	1	397	364	0	0	3	4	16
a13	1	286	0	0	0	2	5	8
a93	2	9	4	0	0	3	8	5
a7	2	297	0	0	0	1	7	2
a45	1	158	0	0	0	1	8	8
a48	1	396	292	0	0	1	8	7
a98	2	168	32	0	0	1	3	2
a62	2	62	0	0	0	3	5	10
a50	1	57	0	0	0	1	5	20
a11	1	97	84	74	222	2	2	16
a95	2	223	138	80	160	1	5	1
a99	2	346	39	26	78	3	3	8
